"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"worse","intermediate or high","4","little","some",">60",0,"Ja",NA,NA,NA,"male",0.73216259,0.79180282,1,0,0,0,0,0,1,NA
"better","intermediate or high","6","some","some","40s",0,"Nee",0,"3",10.06311,"male",0.71848994,-0.14271231,0,0,0,1,0,0,0,1
"better","intermediate or high","6","some","some","50s",0,"Nee",NA,NA,NA,"female",0.78014797,0.79180282,0,0,0,0,1,0,0,NA
"better","intermediate or high","6","a lot","hardly at all","50s",3,"Ja",0,"4",9.356576,"male",0.62774992,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","5","some","little","40s",0,"Nee",0,"3",9.8225222,"male",0.19141237,0.79180282,0,0,1,0,0,0,0,0
"no sibling","intermediate or high","5","a lot","little",">60",0,"Ja",0,"2",9.9121523,"male",0.54754549,0.15866753,0,1,0,0,0,0,1,1
"better","dont know","5","some","some","50s",0,"Ja",0,"2",10.049123,"female",-0.88337505,0.79180282,1,0,0,0,0,0,0,0
"better","intermediate or high","5","some","some",">60",0,"Ja",1,"4",10.743416,"male",0.40540719,0.15866753,0,0,0,1,0,0,0,1
"no sibling","intermediate or high","4","a lot","hardly at all","50s",2,"Ja",0,"1",10.083036,"male",-0.49543652,0.15866753,1,0,0,0,0,0,0,0
"better","intermediate or high","5","little","a lot","40s",0,"Nee",0,"2",10.37085,"male",-0.24530461,-1.0103158,0,1,0,0,0,0,0,0
"better","intermediate or high","2","hardly at all","some",">60",0,"Nee",0,"1",9.4654303,"male",0.54163694,-2.5729868,0,0,0,1,0,0,0,0
"better","intermediate or high","5","some","some",">60",0,"Ja",0,"3",10.295246,"female",-0.36434346,0.49042296,0,1,0,0,0,0,0,0
"no sibling","dont know","6","hardly at all","some","40s",2,"Ja",0,"4",11.938262,"male",-2.0367901,-0.67856038,1,0,0,0,0,0,0,0
"better","intermediate or high","4","some","some",">60",0,"Nee",0,"2",9.7064075,"male",-1.7604946,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","5","hardly at all","some",">60",0,"Nee",NA,NA,NA,"female",0.82013547,0.49042296,1,0,0,0,0,0,1,NA
"no sibling","intermediate or high","5","a lot","some",">60",0,"Ja",0,"4",10.342357,"male",0.73216259,-0.14271231,0,0,0,0,1,0,1,0
"better","intermediate or high","4","little","some","40s",0,"Nee",0,"1",9.2427454,"female",-0.66236907,-2.5763009,0,1,0,0,0,0,0,0
"no sibling","dont know","2","hardly at all","some",">60",0,"Ja",0,"1",9.3831158,"male",-2.3921213,-4.6797991,0,1,0,0,0,0,1,0
"no sibling","intermediate or high","6","some","hardly at all","50s",0,"Ja",0,"4",10.236523,"male",0.32138559,0.79180282,0,0,0,0,0,1,0,1
"better","intermediate or high","2","little","some",">60",0,"Ja",NA,NA,10.06072,"male",0.85747272,0.79180282,0,0,0,0,1,0,1,NA
"better","intermediate or high","5","little","little",">60",0,"Nee",0,"3",9.9208927,"male",0.72340745,-0.14602637,0,0,0,0,1,0,1,0
"better","intermediate or high","4","hardly at all","little",">60",0,"Ja",0,"2",9.1219912,"male",-2.161674,0.79180282,0,1,0,0,0,0,1,0
"no sibling","dont know","5","little","some","40s",0,"Nee",0,"2",9.0459366,"male",-1.6387746,-3.7452841,0,0,1,0,0,0,0,0
"no sibling","intermediate or high","5","little","some",">60",0,"Ja",0,"3",9.8999233,"male",0.16465726,0.15866753,0,0,1,0,0,0,1,0
"worse","intermediate or high","6","a lot","a lot","40s",3,"Ja",0,"4",10.6454,"male",0.64556551,0.79180282,0,0,0,0,1,0,0,1
"no sibling","intermediate or high","2","hardly at all","some",">60",0,"Nee",0,"3",10.191734,"female",-2.3921213,-0.44740623,0,0,0,0,1,0,1,0
"better","intermediate or high","5","some","some",">60",0,"Ja",0,"3",10.525331,"female",0.30149066,0.49042296,0,0,0,0,1,0,1,0
"worse","low","5","little","hardly at all","40s",2,"Ja",0,"3",9.8771744,"male",0.67587441,-1.0103158,0,1,0,0,0,0,0,1
"better","intermediate or high","3","a lot","some","40s",0,"Nee",NA,NA,NA,"male",0.37018928,0.79180282,0,0,0,0,0,1,0,NA
"better","intermediate or high","2","little","some",">60",0,"Nee",0,"4",9.8171444,"female",0.38545975,-1.6163895,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","4","hardly at all","some","40s",0,"Nee",0,"1",9.5007191,"female",-1.1491556,-0.77916163,0,0,1,0,0,0,0,0
"better","low","5","little","some",">60",0,"Ja",0,"1",10.440158,"male",0.31029794,0.49042296,0,0,0,0,1,0,1,0
"no sibling","intermediate or high","3","little","little",">60",0,"Nee",0,"2",7.5648594,"female",0.39070028,-0.14602637,1,0,0,0,0,0,1,0
"worse","intermediate or high","6","some","hardly at all",">60",0,"Ja",0,"4",10.58994,"male",0.44288853,0.15866753,0,0,0,1,0,0,1,0
"no sibling","intermediate or high","3","some","some",">60",0,"Nee",0,"4",11.090903,"male",-0.74840617,0.79180282,0,0,0,0,1,0,1,0
"no sibling","low","2","hardly at all","hardly at all","30s",0,"Ja",0,"1",9.888833,"male",-2.3921213,-3.1088347,0,1,0,0,0,0,0,0
"better","intermediate or high","7 zeer goed","some","a lot","50s",0,"Ja",0,"4",10.303205,"male",0.9449876,0.79180282,0,0,0,0,1,0,0,1
"no sibling","intermediate or high","4","a lot","little",">60",0,"Ja",0,"4",9.9616728,"female",0.10220392,-3.2094362,0,0,1,0,0,0,1,0
"better","intermediate or high","4","some","little",">60",0,"Ja",0,"3",8.5315332,"male",0.81572121,0.79180282,0,1,0,0,0,0,1,0
"no sibling","intermediate or high","6","hardly at all","some","50s",0,"Ja",NA,NA,10.264276,"female",0.2498357,-0.14271231,0,1,0,0,0,0,0,NA
"no sibling","intermediate or high","1 zeer slecht","hardly at all","little","50s",0,"Nee",NA,NA,9.6137218,"female",-1.3780128,-0.14602637,0,0,0,1,0,0,0,NA
"better","intermediate or high","5","hardly at all","some",">60",0,"Ja",0,"4",10.073628,"male",0.69660449,0.79180282,0,0,0,0,1,0,1,1
"better","intermediate or high","Ik weet het niet","a lot","a lot",">60",0,"Ja",0,"4",10.447998,"male",0.67286134,0.79180282,0,0,0,1,0,0,1,1
"no sibling","intermediate or high","6","some","some",">60",0,"Ja",0,"4",9.9795685,"male",0.83358723,0.49042296,0,0,0,0,1,0,1,0
"better","low","6","hardly at all","a lot","50s",0,"Ja",0,"4",10.748936,"female",0.19093896,-0.37718052,0,1,0,0,0,0,0,1
"better","low","6","some","a lot",">60",0,"Ja",0,"4",10.347813,"male",0.83358723,0.79180282,0,1,0,0,0,0,1,0
"better","intermediate or high","5","little","a lot",">60",0,"Ja",0,"3",9.7152319,"male",0.45761371,-3.1088347,0,1,0,0,0,0,1,1
"better","intermediate or high","5","little","some","50s",1,"Ja",1,"4",9.8634434,"male",0.85747272,0.79180282,0,0,0,0,1,0,0,1
"no sibling","intermediate or high","6","little","some",">60",0,"Ja",0,"3",9.7357502,"male",-0.69196153,0.79180282,0,1,0,0,0,0,1,0
"worse","low","6","little","little","50s",0,"Nee",0,"4",10.253941,"male",0.8910414,0.49042296,0,0,0,0,0,1,0,0
"better","intermediate or high","5","some","little",">60",0,"Ja",0,"4",10.171615,"female",0.54749471,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","4","hardly at all","some","50s",0,"Ja",0,"3",10.733839,"female",0.52940345,0.49042296,0,0,0,0,1,0,0,0
"better","intermediate or high","4","hardly at all","hardly at all",">60",0,"Ja",0,"2",10.057343,"male",0.64556551,0.49042296,0,0,0,0,1,0,1,1
"no sibling","intermediate or high","3","little","some","30s",2,"Ja",0,"1",9.8863039,"female",-2.4173326,-4.6797991,0,1,0,0,0,0,0,0
"better","intermediate or high","5","a lot","some","40s",3,"Ja",NA,NA,10.373459,"male",0.80755007,0.79180282,0,0,0,0,1,0,0,NA
"no sibling","intermediate or high","6","a lot","a lot","40s",1,"Ja",NA,NA,NA,"male",0.7474274,0.15866753,0,0,0,0,0,1,0,NA
"better","intermediate or high","5","little","little","50s",1,"Ja",0,"3",10.338656,"female",-2.4862831,0.79180282,0,0,0,1,0,0,0,0
"worse","intermediate or high","3","some","little",">60",0,"Nee",NA,NA,10.341559,"female",0.20328787,-1.3116957,0,0,0,0,1,0,1,NA
"no sibling","intermediate or high","5","little","some",">60",0,"Ja",0,"3",9.7897434,"female",0.75230682,-0.44740623,0,0,1,0,0,0,0,0
"worse","intermediate or high","5","a lot","some",">60",0,"Ja",0,"4",10.476107,"male",0.85739416,0.79180282,0,0,0,0,1,0,1,1
"better","intermediate or high","5","little","little",">60",0,"Ja",0,"4",10.452889,"male",-0.59184402,0.79180282,0,0,1,0,0,0,1,0
